tod,timestamp,Run,Interval,Xfersize,Threads,Reqrate,Rate,Rate_std,Rate_max,Resp,Resp_std,Resp_max,MB/sec,MB_read,MB_write,Read_rate,Read_rate_std,Read_rate_max,Read_resp,Read_resp_std,Read_resp_max,Write_rate,Write_rate_std,Write_rate_max,Write_resp,Write_resp_std,Write_resp_max,Mkdir_rate,Mkdir_rate_std,Mkdir_rate_max,Mkdir_resp,Mkdir_resp_std,Mkdir_resp_max,Rmdir_rate,Rmdir_rate_std,Rmdir_rate_max,Rmdir_resp,Rmdir_resp_std,Rmdir_resp_max,Create_rate,Create_rate_std,Create_rate_max,Create_resp,Create_resp_std,Create_resp_max,Open_rate,Open_rate_std,Open_rate_max,Open_resp,Open_resp_std,Open_resp_max,Close_rate,Close_rate_std,Close_rate_max,Close_resp,Close_resp_std,Close_resp_max,Delete_rate,Delete_rate_std,Delete_rate_max,Delete_resp,Delete_resp_std,Delete_resp_max,Getattr_rate,Getattr_rate_std,Getattr_rate_max,Getattr_resp,Getattr_resp_std,Getattr_resp_max,Setattr_rate,Setattr_rate_std,Setattr_rate_max,Setattr_resp,Setattr_resp_std,Setattr_resp_max,Access_rate,Access_rate_std,Access_rate_max,Access_resp,Access_resp_std,Access_resp_max,Compratio,Dedupratio,cpu_used,cpu_user,cpu_kernel,cpu_wait,cpu_idle
13:47:52.712,12/05/2024-13:47:52-GMT,rd1,1,26557199,n/a,9999988,324,n/a,n/a,70.2313,n/a,n/a,8205.9219,0,8205.9219,0,0,0,0,0,0,324,0,0,70.2313,225.1228,1252.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,4.0747,8.809,53.27,63,0,0,18.2002,105.5921,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,4.2655,0.8263,3.4393,0,0
13:47:53.014,12/05/2024-13:47:53-GMT,rd1,2,129589907,n/a,9999988,87,n/a,n/a,946.4981,n/a,n/a,10752.0312,4096,6656.0312,32,0,0,1242.8052,529.2746,1552.203,55,0,0,774.1013,651.5875,1465.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0.133,0.0668,53.27,85,0,0,0.6828,6.0605,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,58.0072,5.2887,52.7185,0,0
13:47:54.011,12/05/2024-13:47:54-GMT,rd1,3,134217728,n/a,9999988,68,n/a,n/a,285.2164,n/a,n/a,8704,0,8704,0,0,0,0,0,1552.203,68,0,0,285.2164,332.2468,1465.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0.1217,0.0404,53.27,68,0,0,0.0294,0.0155,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,43.7168,1.0706,42.6462,0,0
13:47:55.012,12/05/2024-13:47:55-GMT,rd1,4,134217728,n/a,9999988,85,n/a,n/a,622.0663,n/a,n/a,10880,0,10880,0,0,0,0,0,1552.203,85,0,0,622.0663,575.15,1465.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0.8345,3.862,53.27,85,0,0,0.0284,0.0509,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,43.1796,1.4766,41.703,0,0
13:47:56.010,12/05/2024-13:47:56-GMT,rd1,5,134217728,n/a,9999988,132,n/a,n/a,518.1605,n/a,n/a,16896,128,16768,1,0,0,3663.429,0,3663.429,131,0,0,494.1508,536.115,1465.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0.0764,0.0956,53.27,132,0,0,0.0171,0.0112,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,43.4437,1.9939,41.4497,0,0
13:47:57.359,12/05/2024-13:47:57-GMT,rd1,6,134217728,n/a,9999988,92,n/a,n/a,318.1019,n/a,n/a,11776,128,11648,1,0,0,4825.317,0,4825.317,91,0,0,268.572,381.8242,1465.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0.0624,0.0229,53.27,92,0,0,0.0155,0.0107,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,43.1708,1.3752,41.7956,0,0
13:47:58.008,12/05/2024-13:47:58-GMT,rd1,7,134217728,n/a,9999988,110,n/a,n/a,790.3531,n/a,n/a,14080,0,14080,0,0,0,0,0,4825.317,110,0,0,790.3531,911.2682,2470.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,2.4772,25.2324,264.711,110,0,0,0.026,0.0863,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,42.3423,1.9154,40.4269,0,0
13:47:59.009,12/05/2024-13:47:59-GMT,rd1,8,134217728,n/a,9999988,29,n/a,n/a,785.0412,n/a,n/a,3712,512,3200,4,0,0,1795.5205,3501.7722,7048.178,25,0,0,623.3645,575.881,2470.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.0636,0.0248,264.711,12,0,0,0.0131,0.0039,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,37.6629,0.1952,37.4677,0,0
13:48:00.008,12/05/2024-13:48:00-GMT,rd1,9,134217728,n/a,9999988,34,n/a,n/a,1516.7282,n/a,n/a,4352,128,4224,1,0,0,8612.443,0,8612.443,33,0,0,1301.7065,246.3851,2631.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.092,0.0523,264.711,2,0,0,0.0295,0.0021,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,5.1059,0.2502,4.8557,0,0
13:48:01.010,12/05/2024-13:48:01-GMT,rd1,10,134217728,n/a,9999988,2,n/a,n/a,3978.7185,n/a,n/a,256,128,128,1,0,0,7886.094,0,8612.443,1,0,0,71.343,0,2631.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.088,0,264.711,1,0,0,0.021,0,833.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,n/a,0.7808,0.1483,0.6325,0,0
